BSR,LF,n,mean_r,median_r,geo_mean_r,sd_r,var_r,iqr_r,min_r,max_r,range_r,flag_spread,flag_low_n,any_flag,suggested
CC6,Habitat Complexity,5,3.2,4,3.031433133,1.095445115,1.2,2,2,4,2,TRUE,FALSE,TRUE,3.03
CC6,Decr. Sediment,5,3.4,4,3.287503659,0.894427191,0.8,1,2,4,2,FALSE,FALSE,FALSE,3.29
CC6,Incr. Sediment,5,3.2,3,3.103691148,0.836660027,0.7,1,2,4,2,FALSE,FALSE,FALSE,3.1
CC6,Barriers,3,3,2,2.714417617,1.732050808,3,1.5,2,5,3,FALSE,FALSE,FALSE,2.71
CC6,Predation,3,2.333333333,2,2.289428485,0.577350269,0.333333333,0.5,2,3,1,FALSE,FALSE,FALSE,2.29
CC6,Primary Prod.,3,3,3,2.884499141,1,1,1,2,4,2,FALSE,FALSE,FALSE,2.88
CC6,Non-Native/Competition,3,1.666666667,1,1.44224957,1.154700538,1.333333333,1,1,3,2,FALSE,FALSE,FALSE,1.44
CC6,Decr. Water Quant.,3,3.666666667,4,3.634241186,0.577350269,0.333333333,0.5,3,4,1,FALSE,FALSE,FALSE,3.63
CC6,Altered Q Timing,3,3.333333333,3,3.107232506,1.527525232,2.333333333,1.5,2,5,3,FALSE,FALSE,FALSE,3.11
CC6,Summer Temp,3,3.666666667,3,3.556893304,1.154700538,1.333333333,1,3,5,2,FALSE,FALSE,FALSE,3.56
CC6,Winter Temp.,3,3.666666667,4,3.419951893,1.527525232,2.333333333,1.5,2,5,3,FALSE,FALSE,FALSE,3.42
CC6,Water Quality,3,3,3,2.884499141,1,1,1,2,4,2,FALSE,FALSE,FALSE,2.88
CC7,Riparian Cond.,5,1.8,2,1.64375183,0.836660027,0.7,1,1,3,2,FALSE,FALSE,FALSE,1.64
CC7,Floodplain Cond.,5,1.8,2,1.741101127,0.447213595,0.2,0,1,2,1,FALSE,FALSE,FALSE,1.74
CC7,Side Channel/Wetland,5,2.2,2,2,1.095445115,1.2,0,1,4,3,FALSE,FALSE,FALSE,2
CC7,Habitat Complexity,5,1.8,2,1.64375183,0.836660027,0.7,1,1,3,2,FALSE,FALSE,FALSE,1.64
CC7,Decr. Sediment,5,3,3,2.605171085,1.58113883,2.5,2,1,5,4,TRUE,FALSE,TRUE,2.61
CC7,Incr. Sediment,5,2,2,1.888175023,0.707106781,0.5,0,1,3,2,FALSE,FALSE,FALSE,1.89
CC7,Barriers,3,1.666666667,1,1.44224957,1.154700538,1.333333333,1,1,3,2,FALSE,FALSE,FALSE,1.44
CC7,Predation,3,1,1,1,0,0,0,1,1,0,FALSE,FALSE,FALSE,1
CC7,Primary Prod.,3,2,2,1.817120593,1,1,1,1,3,2,FALSE,FALSE,FALSE,1.82
CC7,Non-Native/Competition,3,2,1,1.587401052,1.732050808,3,1.5,1,4,3,FALSE,FALSE,FALSE,1.59
CC7,Decr. Water Quant.,3,3,3,2.884499141,1,1,1,2,4,2,FALSE,FALSE,FALSE,2.88
CC7,Altered Q Timing,3,3.333333333,3,3.107232506,1.527525232,2.333333333,1.5,2,5,3,FALSE,FALSE,FALSE,3.11
CC7,Summer Temp,3,3.333333333,3,3.107232506,1.527525232,2.333333333,1.5,2,5,3,FALSE,FALSE,FALSE,3.11
CC7,Winter Temp.,3,2.666666667,2,2.15443469,2.081665999,4.333333333,2,1,5,4,TRUE,FALSE,TRUE,2.15
CC7,Water Quality,3,3,2,2.714417617,1.732050808,3,1.5,2,5,3,FALSE,FALSE,FALSE,2.71
CC8,Riparian Cond.,5,2,2,1.888175023,0.707106781,0.5,0,1,3,2,FALSE,FALSE,FALSE,1.89
CC8,Floodplain Cond.,5,2,2,1.888175023,0.707106781,0.5,0,1,3,2,FALSE,FALSE,FALSE,1.89
CC8,Side Channel/Wetland,5,2,2,1.888175023,0.707106781,0.5,0,1,3,2,FALSE,FALSE,FALSE,1.89
CC8,Habitat Complexity,5,1.8,2,1.741101127,0.447213595,0.2,0,1,2,1,FALSE,FALSE,FALSE,1.74
CC8,Decr. Sediment,5,2.4,2,1.974350486,1.673320053,2.8,2,1,5,4,TRUE,FALSE,TRUE,1.97
CC8,Incr. Sediment,5,2,2,1.782602458,1,1,2,1,3,2,TRUE,FALSE,TRUE,1.78
CC8,Barriers,3,1,1,1,0,0,0,1,1,0,FALSE,FALSE,FALSE,1
CC8,Predation,3,1,1,1,0,0,0,1,1,0,FALSE,FALSE,FALSE,1
CC8,Primary Prod.,3,1.666666667,1,1.44224957,1.154700538,1.333333333,1,1,3,2,FALSE,FALSE,FALSE,1.44
CC8,Non-Native/Competition,3,1.333333333,1,1.25992105,0.577350269,0.333333333,0.5,1,2,1,FALSE,FALSE,FALSE,1.26
CC8,Decr. Water Quant.,3,1.666666667,2,1.587401052,0.577350269,0.333333333,0.5,1,2,1,FALSE,FALSE,FALSE,1.59
CC8,Altered Q Timing,3,2.666666667,2,2.5198421,1.154700538,1.333333333,1,2,4,2,FALSE,FALSE,FALSE,2.52
CC8,Summer Temp,3,2,2,2,0,0,0,2,2,0,FALSE,FALSE,FALSE,2
CC8,Winter Temp.,3,1.666666667,2,1.587401052,0.577350269,0.333333333,0.5,1,2,1,FALSE,FALSE,FALSE,1.59
CC8,Water Quality,3,2,2,2,0,0,0,2,2,0,FALSE,FALSE,FALSE,2
CC9,Riparian Cond.,5,1.2,1,1.148698355,0.447213595,0.2,0,1,2,1,FALSE,FALSE,FALSE,1.15
CC9,Floodplain Cond.,5,1.6,1,1.430969081,0.894427191,0.8,1,1,3,2,FALSE,FALSE,FALSE,1.43
CC9,Side Channel/Wetland,5,1.6,1,1.430969081,0.894427191,0.8,1,1,3,2,FALSE,FALSE,FALSE,1.43
CC9,Habitat Complexity,5,1.2,1,1.148698355,0.447213595,0.2,0,1,2,1,FALSE,FALSE,FALSE,1.15
CC9,Decr. Sediment,5,2,1,1.64375183,1.414213562,2,2,1,4,3,TRUE,FALSE,TRUE,1.64
