bsr,basin,bsr_crosswalk_status,species,life_stage,fish_use_rating,corrected_score,species_aggregate_score,fish_use_score,rank,fish_use_score_100,fish_use_score_decimal
CC7,Catherine Creek,provisional_positional,Steelhead,Migration,0.05,0.56,0.95,4.138,1,100,1
CC7,Catherine Creek,provisional_positional,Bull Trout,Spawning & Resident,0.67,2.41,2,4.138,1,100,1
CC7,Catherine Creek,provisional_positional,Bull Trout,FMO,1,1.38,2,4.138,1,100,1
CC8,Catherine Creek,provisional_positional,Chinook,Spawning,0,0,0.27,0.925,25,22.35,0.2235
CC8,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.33,0.3,0.27,0.925,25,22.35,0.2235
CC8,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.33,0.5,0.27,0.925,25,22.35,0.2235
CC8,Catherine Creek,provisional_positional,Chinook,Migration,0.01,0.08,0.27,0.925,25,22.35,0.2235
CC8,Catherine Creek,provisional_positional,Steelhead,Spawning,1,1.06,0.66,0.925,25,22.35,0.2235
CC8,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.67,0.75,0.66,0.925,25,22.35,0.2235
CC8,Catherine Creek,provisional_positional,Steelhead,Summer Rearing,0.67,0.71,0.66,0.925,25,22.35,0.2235
CC8,Catherine Creek,provisional_positional,Steelhead,Migration,0.01,0.11,0.66,0.925,25,22.35,0.2235
CC8,Catherine Creek,provisional_positional,Bull Trout,Spawning & Resident,0,0,0,0.925,25,22.35,0.2235
CC8,Catherine Creek,provisional_positional,Bull Trout,FMO,0,0,0,0.925,25,22.35,0.2235
CC9,Catherine Creek,provisional_positional,Chinook,Spawning,0.33,0.74,0.7,3.747,3,90.56,0.9056
CC9,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.67,0.6,0.7,3.747,3,90.56,0.9056
CC9,Catherine Creek,provisional_positional,Chinook,Summer Rearing,0.67,1.01,0.7,3.747,3,90.56,0.9056
CC9,Catherine Creek,provisional_positional,Chinook,Migration,0.07,0.38,0.7,3.747,3,90.56,0.9056
CC9,Catherine Creek,provisional_positional,Steelhead,Spawning,1,1.06,0.71,3.747,3,90.56,0.9056
CC9,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.33,0.37,0.71,3.747,3,90.56,0.9056
CC9,Catherine Creek,provisional_positional,Steelhead,Summer Rearing,1,1.06,0.71,3.747,3,90.56,0.9056
CC9,Catherine Creek,provisional_positional,Steelhead,Migration,0.03,0.35,0.71,3.747,3,90.56,0.9056
CC9,Catherine Creek,provisional_positional,Bull Trout,Spawning & Resident,1,3.59,2.34,3.747,3,90.56,0.9056
CC9,Catherine Creek,provisional_positional,Bull Trout,FMO,0.33,0.46,2.34,3.747,3,90.56,0.9056
UGR1,Upper Grande Ronde,exact_identifier,Chinook,Spawning,1,2.36,1.12,3.766,2,91.01,0.9101
UGR1,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,1,1.25,1.12,3.766,2,91.01,0.9101
UGR1,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,1,1.54,1.12,3.766,2,91.01,0.9101
UGR1,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.01,0.05,1.12,3.766,2,91.01,0.9101
UGR1,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1,1.03,0.72,3.766,2,91.01,0.9101
UGR1,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.67,0.58,0.72,3.766,2,91.01,0.9101
UGR1,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1,1.05,0.72,3.766,2,91.01,0.9101
UGR1,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.06,0.2,0.72,3.766,2,91.01,0.9101
UGR1,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,1,2.22,1.93,3.766,2,91.01,0.9101
UGR1,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,1,1.48,1.93,3.766,2,91.01,0.9101
UGR2,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0,0,0,0.792,26,19.14,0.1914
UGR2,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0,0,0,0.792,26,19.14,0.1914
UGR2,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0,0,0,0.792,26,19.14,0.1914
UGR2,Upper Grande Ronde,exact_identifier,Chinook,Migration,0,0.01,0,0.792,26,19.14,0.1914
UGR2,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1,1.03,0.79,0.792,26,19.14,0.1914
UGR2,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,1,0.87,0.79,0.792,26,19.14,0.1914
UGR2,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1,1.05,0.79,0.792,26,19.14,0.1914
UGR2,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.07,0.22,0.79,0.792,26,19.14,0.1914
UGR2,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0,0,0,0.792,26,19.14,0.1914
UGR2,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0,0,0,0.792,26,19.14,0.1914
UGR3,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0,0,1.08,2.695,8,65.14,0.6514
UGR3,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0,0,1.08,2.695,8,65.14,0.6514
UGR3,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0,0,1.08,2.695,8,65.14,0.6514
UGR3,Upper Grande Ronde,exact_identifier,Chinook,Migration,1,3.56,1.08,2.695,8,65.14,0.6514
UGR3,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,0.33,0.34,1.02,2.695,8,65.14,0.6514
UGR3,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.67,0.58,1.02,2.695,8,65.14,0.6514
UGR3,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,0,0,1.02,2.695,8,65.14,0.6514
UGR3,Upper Grande Ronde,exact_identifier,Steelhead,Migration,1,3.17,1.02,2.695,8,65.14,0.6514
UGR3,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0,0,0.59,2.695,8,65.14,0.6514
UGR3,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,1,1.48,0.59,2.695,8,65.14,0.6514
UGR4,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0,0,0,0.775,27,18.73,0.1873
UGR4,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0,0,0,0.775,27,18.73,0.1873
UGR4,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0,0,0,0.775,27,18.73,0.1873
UGR4,Upper Grande Ronde,exact_identifier,Chinook,Migration,0,0,0,0.775,27,18.73,0.1873
UGR4,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1,1.03,0.77,0.775,27,18.73,0.1873
UGR4,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,1,0.87,0.77,0.775,27,18.73,0.1873
UGR4,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1,1.05,0.77,0.775,27,18.73,0.1873
UGR4,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.05,0.15,0.77,0.775,27,18.73,0.1873
UGR4,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0,0,0,0.775,27,18.73,0.1873
UGR4,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0,0,0,0.775,27,18.73,0.1873
UGR5,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0,0,1.16,2.169,13,52.42,0.5242
UGR5,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.67,0.84,1.16,2.169,13,52.42,0.5242
UGR5,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0,0,1.16,2.169,13,52.42,0.5242
UGR5,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.91,3.23,1.16,2.169,13,52.42,0.5242
UGR5,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,0,0,0.82,2.169,13,52.42,0.5242
UGR5,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.67,0.58,0.82,2.169,13,52.42,0.5242
UGR5,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,0,0,0.82,2.169,13,52.42,0.5242
UGR5,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.85,2.68,0.82,2.169,13,52.42,0.5242
UGR5,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0,0,0.2,2.169,13,52.42,0.5242
UGR5,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.33,0.49,0.2,2.169,13,52.42,0.5242
UGR6,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.33,0.78,0.62,3.162,6,76.43,0.7643
UGR6,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.33,0.41,0.62,3.162,6,76.43,0.7643
UGR6,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.67,1.03,0.62,3.162,6,76.43,0.7643
UGR6,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.06,0.2,0.62,3.162,6,76.43,0.7643
UGR6,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1,1.03,0.82,3.162,6,76.43,0.7643
UGR6,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,1,0.87,0.82,3.162,6,76.43,0.7643
