bsr,basin,species,life_stage,LS_corrected_score_source,LS_corrected_score,species_aggregate_score,fish_use_score,population_priority,condition_vulnerability_sum,vulnerability_review_flag,impact_score,risk_score,risk_rank_within_bsr,species_life_stage_label
CC9,Catherine Creek,Bull Trout,FMO,0.46,0.12813370473537605,2.34,0.9056,0.4,0.503749982142857,Yes,0.0645473514723438,0.025818940588937522,6,Bull Trout | FMO
CC9,Catherine Creek,Bull Trout,Spawning & Resident,3.59,1.0,2.34,0.9056,0.6,0.6131361428571427,Yes,0.6131361428571427,0.3678816857142856,1,Bull Trout | Spawning & Resident
CC9,Catherine Creek,Chinook,Migration,0.38,0.10584958217270196,0.7,0.9056,0.3,0.6238634999999999,No,0.06603569080779945,0.019810707242339833,7,Chinook | Migration
CC9,Catherine Creek,Chinook,Spawning,0.74,0.20612813370473537,0.7,0.9056,0.12,0.5499546964285713,No,0.1133611351969757,0.013603336223637083,9,Chinook | Spawning
CC9,Catherine Creek,Chinook,Summer Rearing,1.01,0.28133704735376047,0.7,0.9056,0.21,0.5450541964285713,No,0.15334393827099083,0.032202227036908074,5,Chinook | Summer Rearing
CC9,Catherine Creek,Chinook,Winter Rearing,0.6,0.1671309192200557,0.7,0.9056,0.36,0.5413646785714284,No,0.09047877636291284,0.03257235949064862,4,Chinook | Winter Rearing
CC9,Catherine Creek,Steelhead,Migration,0.35,0.09749303621169916,0.71,0.9056,0.25,0.6131166964285713,No,0.05977460828690806,0.014943652071727015,8,Steelhead | Migration
CC9,Catherine Creek,Steelhead,Spawning,1.06,0.2952646239554318,0.71,0.9056,0.25,0.5497796785714285,No,0.162330490051731,0.04058262251293275,2,Steelhead | Spawning
CC9,Catherine Creek,Steelhead,Summer Rearing,1.06,0.2952646239554318,0.71,0.9056,0.25,0.5146010892857142,No,0.151943497115002,0.0379858742787505,3,Steelhead | Summer Rearing
CC9,Catherine Creek,Steelhead,Winter Rearing,0.37,0.10306406685236769,0.71,0.9056,0.25,0.48642321428571417,No,0.05013275467568642,0.012533188668921605,10,Steelhead | Winter Rearing
UGR1,Upper Grande Ronde,Bull Trout,FMO,1.48,0.41225626740947074,1.93,0.9101,0.4,0.9961936607142857,Yes,0.41068708018304817,0.16427483207321927,2,Bull Trout | FMO
UGR1,Upper Grande Ronde,Bull Trout,Spawning & Resident,2.22,0.6183844011142062,1.93,0.9101,0.6,1.0016192142857143,Yes,0.6193856979705532,0.3716314187823319,1,Bull Trout | Spawning & Resident
UGR1,Upper Grande Ronde,Chinook,Migration,0.05,0.01392757660167131,1.12,0.9101,0.34,1.3427802857142859,No,0.018701675288499805,0.006358569598089934,10,Chinook | Migration
UGR1,Upper Grande Ronde,Chinook,Spawning,2.36,0.6573816155988857,1.12,0.9101,0.08,0.7865222678571429,No,0.5170452791484281,0.04136362233187425,7,Chinook | Spawning
UGR1,Upper Grande Ronde,Chinook,Summer Rearing,1.54,0.42896935933147634,1.12,0.9101,0.24,0.7555441071428572,No,0.32410527158774377,0.07778526518105851,4,Chinook | Summer Rearing
UGR1,Upper Grande Ronde,Chinook,Winter Rearing,1.25,0.34818941504178275,1.12,0.9101,0.34,0.8720918571428572,No,0.30365315360127343,0.10324207222443298,3,Chinook | Winter Rearing
UGR1,Upper Grande Ronde,Steelhead,Migration,0.2,0.05571030640668524,0.72,0.9101,0.25,1.4165671071428572,No,0.0789173875845603,0.019729346896140074,9,Steelhead | Migration
UGR1,Upper Grande Ronde,Steelhead,Spawning,1.03,0.28690807799442897,0.72,0.9101,0.25,0.8306267678571428,No,0.23831352949661758,0.059578382374154394,6,Steelhead | Spawning
UGR1,Upper Grande Ronde,Steelhead,Summer Rearing,1.05,0.2924791086350975,0.72,0.9101,0.25,0.9358125,No,0.2737056058495822,0.06842640146239555,5,Steelhead | Summer Rearing
UGR1,Upper Grande Ronde,Steelhead,Winter Rearing,0.58,0.1615598885793872,0.72,0.9101,0.25,0.8309768035714286,No,0.13425251979705533,0.03356312994926383,8,Steelhead | Winter Rearing
UGR10,Upper Grande Ronde,Bull Trout,FMO,0.0,0.0,0.0,0.2541,0.4,1.5548860178571429,Yes,0.0,0.0,7,Bull Trout | FMO
UGR10,Upper Grande Ronde,Bull Trout,Spawning & Resident,0.0,0.0,0.0,0.2541,0.6,1.7647324285714285,Yes,0.0,0.0,7,Bull Trout | Spawning & Resident
UGR10,Upper Grande Ronde,Chinook,Migration,0.0,0.0,0.27,0.2541,0.34,1.963603982142857,No,0.0,0.0,7,Chinook | Migration
UGR10,Upper Grande Ronde,Chinook,Spawning,0.0,0.0,0.27,0.2541,0.08,1.7783838214285712,No,0.0,0.0,7,Chinook | Spawning
UGR10,Upper Grande Ronde,Chinook,Summer Rearing,0.51,0.14206128133704737,0.27,0.2541,0.24,1.6917499821428572,No,0.2403321701651413,0.05767972083963391,5,Chinook | Summer Rearing
UGR10,Upper Grande Ronde,Chinook,Winter Rearing,0.41,0.11420612813370473,0.27,0.2541,0.34,1.8289498392857142,No,0.20887727969558295,0.0710182750964982,4,Chinook | Winter Rearing
UGR10,Upper Grande Ronde,Steelhead,Migration,0.17,0.04735376044568246,0.78,0.2541,0.25,1.8305196964285713,No,0.08668199119578193,0.021670497798945483,6,Steelhead | Migration
UGR10,Upper Grande Ronde,Steelhead,Spawning,1.03,0.28690807799442897,0.78,0.2541,0.25,1.9155978214285714,No,0.5496004891563868,0.1374001222890967,1,Steelhead | Spawning
UGR10,Upper Grande Ronde,Steelhead,Summer Rearing,1.05,0.2924791086350975,0.78,0.2541,0.25,1.5111315535714285,No,0.44197440981894154,0.11049360245473538,2,Steelhead | Summer Rearing
UGR10,Upper Grande Ronde,Steelhead,Winter Rearing,0.87,0.24233983286908078,0.78,0.2541,0.25,1.778733857142857,No,0.4310580656585754,0.10776451641464385,3,Steelhead | Winter Rearing
UGR11,Upper Grande Ronde,Bull Trout,FMO,0.99,0.2757660167130919,0.4,0.4504,0.4,4.208112535714285,Yes,1.1604544318543573,0.46418177274174294,3,Bull Trout | FMO
UGR11,Upper Grande Ronde,Bull Trout,Spawning & Resident,0.0,0.0,0.4,0.4504,0.6,4.335525535714286,Yes,0.0,0.0,8,Bull Trout | Spawning & Resident
UGR11,Upper Grande Ronde,Chinook,Migration,1.24,0.34540389972144847,0.83,0.4504,0.34,5.2992251249999995,No,1.83037302367688,0.6223268280501393,1,Chinook | Migration
