bsr,basin,bsr_crosswalk_status,species,life_stage,LS_corrected_score_source,species_aggregate_score,fish_use_score,LS_corrected_score
CC8,Catherine Creek,provisional_positional,Bull Trout,FMO,0.0,0.0,0.2235,0.0
CC9,Catherine Creek,provisional_positional,Chinook,Spawning,0.74,0.7,0.9056,0.20612813370473537
CC9,Catherine Creek,provisional_positional,Chinook,Winter Rearing,0.6,0.7,0.9056,0.1671309192200557
CC9,Catherine Creek,provisional_positional,Chinook,Summer Rearing,1.01,0.7,0.9056,0.28133704735376047
CC9,Catherine Creek,provisional_positional,Chinook,Migration,0.38,0.7,0.9056,0.10584958217270196
CC9,Catherine Creek,provisional_positional,Steelhead,Spawning,1.06,0.71,0.9056,0.2952646239554318
CC9,Catherine Creek,provisional_positional,Steelhead,Winter Rearing,0.37,0.71,0.9056,0.10306406685236769
CC9,Catherine Creek,provisional_positional,Steelhead,Summer Rearing,1.06,0.71,0.9056,0.2952646239554318
CC9,Catherine Creek,provisional_positional,Steelhead,Migration,0.35,0.71,0.9056,0.09749303621169916
CC9,Catherine Creek,provisional_positional,Bull Trout,Spawning & Resident,3.59,2.34,0.9056,1.0
CC9,Catherine Creek,provisional_positional,Bull Trout,FMO,0.46,2.34,0.9056,0.12813370473537605
UGR1,Upper Grande Ronde,exact_identifier,Chinook,Spawning,2.36,1.12,0.9101,0.6573816155988857
UGR1,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,1.25,1.12,0.9101,0.34818941504178275
UGR1,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,1.54,1.12,0.9101,0.42896935933147634
UGR1,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.05,1.12,0.9101,0.01392757660167131
UGR1,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1.03,0.72,0.9101,0.28690807799442897
UGR1,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.58,0.72,0.9101,0.1615598885793872
UGR1,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1.05,0.72,0.9101,0.2924791086350975
UGR1,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.2,0.72,0.9101,0.05571030640668524
UGR1,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,2.22,1.93,0.9101,0.6183844011142062
UGR1,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,1.48,1.93,0.9101,0.41225626740947074
UGR2,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.0,0.0,0.1914,0.0
UGR2,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.0,0.0,0.1914,0.0
UGR2,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.0,0.0,0.1914,0.0
UGR2,Upper Grande Ronde,exact_identifier,Chinook,Migration,0.01,0.0,0.1914,0.002785515320334262
UGR2,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,1.03,0.79,0.1914,0.28690807799442897
UGR2,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.87,0.79,0.1914,0.24233983286908078
UGR2,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,1.05,0.79,0.1914,0.2924791086350975
UGR2,Upper Grande Ronde,exact_identifier,Steelhead,Migration,0.22,0.79,0.1914,0.061281337047353765
UGR2,Upper Grande Ronde,exact_identifier,Bull Trout,Spawning & Resident,0.0,0.0,0.1914,0.0
UGR2,Upper Grande Ronde,exact_identifier,Bull Trout,FMO,0.0,0.0,0.1914,0.0
UGR3,Upper Grande Ronde,exact_identifier,Chinook,Spawning,0.0,1.08,0.6514,0.0
UGR3,Upper Grande Ronde,exact_identifier,Chinook,Winter Rearing,0.0,1.08,0.6514,0.0
UGR3,Upper Grande Ronde,exact_identifier,Chinook,Summer Rearing,0.0,1.08,0.6514,0.0
UGR3,Upper Grande Ronde,exact_identifier,Chinook,Migration,3.56,1.08,0.6514,0.9916434540389972
UGR3,Upper Grande Ronde,exact_identifier,Steelhead,Spawning,0.34,1.02,0.6514,0.09470752089136492
UGR3,Upper Grande Ronde,exact_identifier,Steelhead,Winter Rearing,0.58,1.02,0.6514,0.1615598885793872
UGR3,Upper Grande Ronde,exact_identifier,Steelhead,Summer Rearing,0.0,1.02,0.6514,0.0
UGR3,Upper Grande Ronde,exact_identifier,Steelhead,Migration,3.17,1.02,0.6514,0.883008356545961
