map_group,category,score_field,scale_min,scale_max,output_file,scale_basis,action_observed_max,action_max_rank,action_type_count,fill_alpha
"Benefit score by action type, action-specific scale",Fish Passage – Barrier Removal and Replacement,action_benefit_score,0.0,0.7650898096162952,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled\benefit_fish_passage_barrier_removal_and_replacement.png,Maximum for this action type,0.7650898096162952,7.0,11.0,0.84
"Benefit score by action type, action-specific scale and ranked transparency",Fish Passage – Barrier Removal and Replacement,action_benefit_score,0.0,0.7650898096162952,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled_ranked_transparency\benefit_fish_passage_barrier_removal_and_replacement.png,Maximum for this action type,0.7650898096162952,7.0,11.0,0.5700000000000001
"Benefit score by action type, shared scale",Floodplain – Reconnect and Restore,action_benefit_score,0.0,2.233472766854059,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type\benefit_floodplain_reconnect_and_restore.png,Maximum across all action types,2.233472766854059,1.0,11.0,0.84
"Benefit score by action type, action-specific scale",Floodplain – Reconnect and Restore,action_benefit_score,0.0,2.233472766854059,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled\benefit_floodplain_reconnect_and_restore.png,Maximum for this action type,2.233472766854059,1.0,11.0,0.84
"Benefit score by action type, action-specific scale and ranked transparency",Floodplain – Reconnect and Restore,action_benefit_score,0.0,2.233472766854059,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled_ranked_transparency\benefit_floodplain_reconnect_and_restore.png,Maximum for this action type,2.233472766854059,1.0,11.0,0.9
"Benefit score by action type, shared scale",Instream Complexity Improvement,action_benefit_score,0.0,2.233472766854059,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type\benefit_instream_complexity_improvement.png,Maximum across all action types,1.7836036533602568,4.0,11.0,0.84
"Benefit score by action type, action-specific scale",Instream Complexity Improvement,action_benefit_score,0.0,1.7836036533602568,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled\benefit_instream_complexity_improvement.png,Maximum for this action type,1.7836036533602568,4.0,11.0,0.84
"Benefit score by action type, action-specific scale and ranked transparency",Instream Complexity Improvement,action_benefit_score,0.0,1.7836036533602568,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled_ranked_transparency\benefit_instream_complexity_improvement.png,Maximum for this action type,1.7836036533602568,4.0,11.0,0.735
"Benefit score by action type, shared scale",Instream Flow Restoration,action_benefit_score,0.0,2.233472766854059,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type\benefit_instream_flow_restoration.png,Maximum across all action types,1.7880981946313173,3.0,11.0,0.84
"Benefit score by action type, action-specific scale",Instream Flow Restoration,action_benefit_score,0.0,1.7880981946313173,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled\benefit_instream_flow_restoration.png,Maximum for this action type,1.7880981946313173,3.0,11.0,0.84
"Benefit score by action type, action-specific scale and ranked transparency",Instream Flow Restoration,action_benefit_score,0.0,1.7880981946313173,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled_ranked_transparency\benefit_instream_flow_restoration.png,Maximum for this action type,1.7880981946313173,3.0,11.0,0.79
"Benefit score by action type, shared scale",Nutrient Enhancement,action_benefit_score,0.0,2.233472766854059,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type\benefit_nutrient_enhancement.png,Maximum across all action types,0.3074747925915837,11.0,11.0,0.84
"Benefit score by action type, action-specific scale",Nutrient Enhancement,action_benefit_score,0.0,0.3074747925915837,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled\benefit_nutrient_enhancement.png,Maximum for this action type,0.3074747925915837,11.0,11.0,0.84
"Benefit score by action type, action-specific scale and ranked transparency",Nutrient Enhancement,action_benefit_score,0.0,0.3074747925915837,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled_ranked_transparency\benefit_nutrient_enhancement.png,Maximum for this action type,0.3074747925915837,11.0,11.0,0.35
"Benefit score by action type, shared scale",Protect Land (Easement and Acquisition),action_benefit_score,0.0,2.233472766854059,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type\benefit_protect_land_easement_and_acquisition.png,Maximum across all action types,1.1088293585277558,5.0,11.0,0.84
"Benefit score by action type, action-specific scale",Protect Land (Easement and Acquisition),action_benefit_score,0.0,1.1088293585277558,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled\benefit_protect_land_easement_and_acquisition.png,Maximum for this action type,1.1088293585277558,5.0,11.0,0.84
"Benefit score by action type, action-specific scale and ranked transparency",Protect Land (Easement and Acquisition),action_benefit_score,0.0,1.1088293585277558,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled_ranked_transparency\benefit_protect_land_easement_and_acquisition.png,Maximum for this action type,1.1088293585277558,5.0,11.0,0.6799999999999999
"Benefit score by action type, shared scale",Riparian Vegetation Restoration,action_benefit_score,0.0,2.233472766854059,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type\benefit_riparian_vegetation_restoration.png,Maximum across all action types,1.9198672738198468,2.0,11.0,0.84
"Benefit score by action type, action-specific scale",Riparian Vegetation Restoration,action_benefit_score,0.0,1.9198672738198468,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled\benefit_riparian_vegetation_restoration.png,Maximum for this action type,1.9198672738198468,2.0,11.0,0.84
"Benefit score by action type, action-specific scale and ranked transparency",Riparian Vegetation Restoration,action_benefit_score,0.0,1.9198672738198468,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled_ranked_transparency\benefit_riparian_vegetation_restoration.png,Maximum for this action type,1.9198672738198468,2.0,11.0,0.845
"Benefit score by action type, shared scale",Species Management (non-native or unnatural),action_benefit_score,0.0,2.233472766854059,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type\benefit_species_management_non_native_or_unnatural.png,Maximum across all action types,1.002561083971901,6.0,11.0,0.84
"Benefit score by action type, action-specific scale",Species Management (non-native or unnatural),action_benefit_score,0.0,1.002561083971901,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled\benefit_species_management_non_native_or_unnatural.png,Maximum for this action type,1.002561083971901,6.0,11.0,0.84
"Benefit score by action type, action-specific scale and ranked transparency",Species Management (non-native or unnatural),action_benefit_score,0.0,1.002561083971901,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled_ranked_transparency\benefit_species_management_non_native_or_unnatural.png,Maximum for this action type,1.002561083971901,6.0,11.0,0.625
"Benefit score by action type, shared scale","Thermal Refuge Enhancement (reconnect, expand)",action_benefit_score,0.0,2.233472766854059,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type\benefit_thermal_refuge_enhancement_reconnect_expand.png,Maximum across all action types,0.7482845266887386,8.0,11.0,0.84
"Benefit score by action type, action-specific scale","Thermal Refuge Enhancement (reconnect, expand)",action_benefit_score,0.0,0.7482845266887386,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled\benefit_thermal_refuge_enhancement_reconnect_expand.png,Maximum for this action type,0.7482845266887386,8.0,11.0,0.84
"Benefit score by action type, action-specific scale and ranked transparency","Thermal Refuge Enhancement (reconnect, expand)",action_benefit_score,0.0,0.7482845266887386,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled_ranked_transparency\benefit_thermal_refuge_enhancement_reconnect_expand.png,Maximum for this action type,0.7482845266887386,8.0,11.0,0.515
"Benefit score by action type, shared scale",Upland Treatments,action_benefit_score,0.0,2.233472766854059,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type\benefit_upland_treatments.png,Maximum across all action types,0.5808550199383555,10.0,11.0,0.84
"Benefit score by action type, action-specific scale",Upland Treatments,action_benefit_score,0.0,0.5808550199383555,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled\benefit_upland_treatments.png,Maximum for this action type,0.5808550199383555,10.0,11.0,0.84
"Benefit score by action type, action-specific scale and ranked transparency",Upland Treatments,action_benefit_score,0.0,0.5808550199383555,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled_ranked_transparency\benefit_upland_treatments.png,Maximum for this action type,0.5808550199383555,10.0,11.0,0.40499999999999997
"Benefit score by action type, shared scale",Water Quality Improvement (not including temperature),action_benefit_score,0.0,2.233472766854059,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type\benefit_water_quality_improvement_not_including_temperature.png,Maximum across all action types,0.6877352422166932,9.0,11.0,0.84
"Benefit score by action type, action-specific scale",Water Quality Improvement (not including temperature),action_benefit_score,0.0,0.6877352422166932,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled\benefit_water_quality_improvement_not_including_temperature.png,Maximum for this action type,0.6877352422166932,9.0,11.0,0.84
"Benefit score by action type, action-specific scale and ranked transparency",Water Quality Improvement (not including temperature),action_benefit_score,0.0,0.6877352422166932,C:\Users\AlexThornton-Dunwood\OneDrive - Lichen Land & Water\Documents\GitHub\atlas_lvl1-2_scoring_webapp\data\outputs\maps\benefit_by_action_type_action_scaled_ranked_transparency\benefit_water_quality_improvement_not_including_temperature.png,Maximum for this action type,0.6877352422166932,9.0,11.0,0.45999999999999996
